id,name,author,isbn,created
1,intermediate,Dorree Wakelin,095015434-2,1979-02-24T22:18:06Z
2,Versatile,Nolie Sange,003263001-8,1972-09-22T00:10:59Z
3,secured line,Meaghan Dearness,526765020-X,1981-01-15T18:56:49Z
4,human-resource,Shaine Covington,490679156-5,2013-11-23T02:09:46Z
5,Exclusive,Zola Hullock,658634198-1,1996-06-26T09:17:57Z
6,alliance,Carree Plumptre,691531699-X,1979-02-24T10:08:54Z
7,regional,Julieta De Laspee,476648246-8,1970-06-01T13:53:14Z
8,artificial intelligence,Romain Comino,339593443-8,2012-03-25T19:35:09Z
9,coherent,Fionna Beneze,611295609-8,1983-09-19T08:53:25Z
10,Extended,Hope Meneur,209790420-3,1990-02-12T11:28:18Z
11,Up-sized,Loren Oakland,855755092-8,1991-05-26T16:30:58Z
12,encompassing,Renaldo Swyn,447815809-6,2005-04-30T12:11:08Z
13,bi-directional,Welch Bartrap,825649018-7,1997-01-21T07:33:24Z
14,Devolved,Donaugh Lindeberg,945196179-8,1996-01-27T10:33:28Z
15,intangible,Loutitia Lanney,062750451-5,2019-07-26T07:04:06Z
16,Assimilated,Jamal Fautly,379466205-9,1998-08-11T00:34:41Z
17,Re-contextualized,Murielle Wraighte,462276711-2,1991-04-06T20:01:35Z
18,incremental,Ashbey Gair,870901497-7,1973-01-30T11:32:52Z
19,application,Hillyer McTurley,122285277-2,2008-08-16T15:30:37Z
20,access,Julius Leadbeatter,596500649-7,2013-07-07T03:11:42Z
21,Phased,Francyne Heale,716904644-X,2014-10-21T15:16:47Z
22,grid-enabled,Elwin Alywin,532572324-3,1996-02-08T13:09:12Z
23,forecast,Janene Atwill,541687387-6,2001-04-07T17:59:25Z
24,optimizing,Faina Goley,298227088-9,1989-08-19T14:32:24Z
25,maximized,Archy Salamon,800235224-6,1994-04-18T03:44:49Z
26,full-range,Jasen Varran,950705095-7,2008-02-29T06:23:12Z
27,Organized,Tiffi Vaen,424267709-X,1977-12-21T09:15:04Z
